,Date,price,buys_per_hour,sells_per_hour,volume_bought_per_hour,volume_sold_per_hour,size_bought_per_hour,size_sold_per_hour
170,2021-01-10 10:00:00,40400.0,1.0,2.0,130.51616,1135.24,0.0032,0.0281
171,2021-01-10 11:00:00,39436.99,2.0,1.0,795.700634,219.040752,0.0202,0.0056
172,2021-01-10 12:00:00,39639.12,2.0,0.0,746.363973,0.0,0.0189,0.0
173,2021-01-10 13:00:00,39910.62,0.0,10.0,0.0,17887.939884,0.0,0.44820000000000004
174,2021-01-10 14:00:00,39319.22,7.0,2.0,2397.282042,3558.0042000000003,0.060700000000000004,0.09
175,2021-01-10 15:00:00,39740.4,4.0,2.0,559.756176,1592.371,0.0142,0.0401
176,2021-01-10 16:00:00,39285.92,3.0,2.0,2129.280783,146.5385,0.0542,0.0037
177,2021-01-10 18:00:00,38443.47,1.0,1.0,695.826807,111.404167,0.0181,0.0029
178,2021-01-10 20:00:00,36948.3,5.0,0.0,34757.26581,0.0,0.9407,0.0
179,2021-01-10 21:00:00,38102.21,4.0,0.0,3227.447401,0.0,0.0851,0.0
180,2021-01-10 22:00:00,38515.77,2.0,6.0,1559.877511,13371.82254,0.0405,0.34440000000000004
181,2021-01-10 23:00:00,38406.47,0.0,1.0,0.0,695.157107,0.0,0.0181
182,2021-01-11 00:00:00,37144.9,6.0,0.0,8268.221106,0.0,0.2207,0.0
183,2021-01-11 01:00:00,37262.47,1.0,1.0,44.709828,44.714964,0.0012,0.0012
184,2021-01-11 02:00:00,36949.29,7.0,1.0,5009.188261,10970.244201,0.13699999999999998,0.2969
185,2021-01-11 03:00:00,35517.72,15.0,6.0,12901.171227,4362.856876,0.3639,0.129
186,2021-01-11 04:00:00,35623.69,13.0,0.0,19596.949356,0.0,0.5647,0.0
187,2021-01-11 05:00:00,34817.52,8.0,0.0,14228.565393,0.0,0.39790000000000003,0.0
188,2021-01-11 06:00:00,33399.92,5.0,2.0,3088.371718,4533.154434,0.0935,0.1326
189,2021-01-11 07:00:00,34432.15,19.0,0.0,48702.173998,0.0,1.4517,0.0
190,2021-01-11 08:00:00,35296.65,9.0,6.0,1832.394634,8676.27726,0.0524,0.24530000000000002
191,2021-01-11 09:00:00,35470.55,1.0,0.0,120.59987,0.0,0.0034,0.0
192,2021-01-11 10:00:00,36124.39,3.0,0.0,5227.014118,0.0,0.1447,0.0
193,2021-01-11 12:00:00,34116.72,11.0,2.0,10289.661329999999,939.26229,0.2976,0.026000000000000002
194,2021-01-11 13:00:00,33687.7,8.0,2.0,5845.896672,3008.31161,0.1736,0.0893
195,2021-01-11 14:00:00,33721.1,20.0,0.0,16802.548045,0.0,0.5085000000000001,0.0
196,2021-01-11 15:00:00,31917.7,9.0,1.0,2568.097124,4353.27674,0.0788,0.1297
197,2021-01-11 16:00:00,31800.0,10.0,0.0,7714.809906,0.0,0.2444,0.0
198,2021-01-11 17:00:00,32926.2,21.0,0.0,73687.555903,0.0,2.2273,0.0
199,2021-01-11 18:00:00,32639.23,2.0,0.0,293.740416,0.0,0.009000000000000001,0.0
200,2021-01-11 19:00:00,31825.48,5.0,0.0,2119.746843,0.0,0.06609999999999999,0.0
201,2021-01-11 20:00:00,33169.93,0.0,1.0,0.0,2985.2937,0.0,0.09
202,2021-01-11 21:00:00,34284.39,1.0,2.0,767.970336,336.6,0.0224,0.009899999999999999
203,2021-01-11 22:00:00,34440.9,1.0,1.0,2162.88852,48.095572,0.0628,0.0014
204,2021-01-11 23:00:00,35399.07,20.0,4.0,51319.392773,3163.22404,1.4612,0.0902
205,2021-01-12 00:00:00,35445.1,2.0,0.0,3190.058214,0.0,0.09,0.0
206,2021-01-12 01:00:00,34269.47,5.0,0.0,6576.508131,0.0,0.1871,0.0
207,2021-01-12 02:00:00,34096.7,1.0,1.0,51.030285,310.27997,0.0015,0.0091
208,2021-01-12 03:00:00,34947.47,0.0,1.0,0.0,97.852916,0.0,0.0028
209,2021-01-12 04:00:00,34779.8,0.0,2.0,0.0,1919.5243420000002,0.0,0.0548
210,2021-01-12 05:00:00,35352.69,2.0,0.0,2686.80444,0.0,0.076,0.0
211,2021-01-12 06:00:00,36170.69,2.0,2.0,2469.819981,3884.669589,0.0686,0.1081
212,2021-01-12 07:00:00,36450.75,2.0,0.0,86.772912,0.0,0.0024,0.0
213,2021-01-12 08:00:00,35836.56,3.0,0.0,1638.413757,0.0,0.0457,0.0
214,2021-01-12 09:00:00,35927.73,2.0,0.0,2087.875445,0.0,0.0587,0.0
215,2021-01-12 10:00:00,35000.0,0.0,4.0,0.0,4221.202498000001,0.0,0.1206
216,2021-01-12 11:00:00,35224.91,7.0,0.0,1035.2483789999999,0.0,0.029,0.0
217,2021-01-12 12:00:00,35103.27,0.0,1.0,0.0,589.734936,0.0,0.0168
218,2021-01-12 13:00:00,34357.22,1.0,0.0,2150.761972,0.0,0.0626,0.0
219,2021-01-12 14:00:00,33408.74,9.0,12.0,20014.176188999998,18447.11583,0.5995,0.5519999999999999
220,2021-01-12 15:00:00,33906.1,3.0,0.0,3065.066522,0.0,0.0895,0.0
221,2021-01-12 16:00:00,34587.65,1.0,1.0,44.963945,27.376,0.0013,0.0008
222,2021-01-12 17:00:00,34699.71,4.0,0.0,3323.612287,0.0,0.0954,0.0
223,2021-01-12 18:00:00,35302.22,0.0,1.0,0.0,74.134662,0.0,0.0021
224,2021-01-12 19:00:00,34563.74,1.0,0.0,6.912748,0.0,0.0002,0.0
225,2021-01-12 20:00:00,34288.33,2.0,0.0,1889.486899,0.0,0.0553,0.0
226,2021-01-12 21:00:00,34145.71,1.0,0.0,310.725961,0.0,0.0091,0.0
227,2021-01-12 22:00:00,33522.77,1.0,0.0,107.272864,0.0,0.0032,0.0
228,2021-01-12 23:00:00,33375.23,4.0,0.0,723.363446,0.0,0.0216,0.0
229,2021-01-13 00:00:00,32547.63,1.0,1.0,68.350023,907.023492,0.0021,0.0276
230,2021-01-13 01:00:00,33200.8,2.0,0.0,1716.46732,0.0,0.051699999999999996,0.0
231,2021-01-13 02:00:00,33065.47,2.0,2.0,5230.5211389999995,673.478109,0.1595,0.0203
232,2021-01-13 03:00:00,33734.32,4.0,0.0,517.842714,0.0,0.015300000000000001,0.0
233,2021-01-13 04:00:00,33513.55,1.0,0.0,174.27046,0.0,0.0052,0.0
234,2021-01-13 06:00:00,34100.0,1.0,1.0,539.43552,85.25,0.016,0.0025
235,2021-01-13 07:00:00,34957.17,6.0,2.0,4330.404194000001,493.149224,0.1258,0.0142
236,2021-01-13 08:00:00,34523.35,0.0,10.0,0.0,24238.984161,0.0,0.7017
